"","Item","Loading","Coef"
"521","Corn","PC18",0.120638194487564
"522","Zucchini","PC18",0.195992970189013
"523","Beef","PC19",-0.0233948046897368
"524","Pico","PC19",0.14065728391501
"525","Cheese","PC19",0.118043038986811
"526","Fries","PC19",0.0385976634649035
"527","Sour_cream","PC19",-0.5896558429996
"528","Pork","PC19",-0.0177665014987149
"529","Chicken","PC19",0.151315169859688
"530","Shrimp","PC19",-0.00133318918778857
"531","Fish","PC19",-0.0693663719660253
"532","Tomato","PC19",-0.150771970111787
"533","Bell_pepper","PC19",0.0865238672089804
"534","Carrots","PC19",-0.217665910469282
"535","Cabbage","PC19",0.0131433593429573
"536","Sauce","PC19",-0.0428322434912985
"537","Salsa","PC19",0.0891277601513314
"538","Cilantro","PC19",-0.0433229179606507
"539","Onion","PC19",0.0155567102939272
"540","Taquito","PC19",0.148315304273942
"541","Pineapple","PC19",-0.360675613589396
"542","Ham","PC19",0.341330216259749
"543","Chile_relleno","PC19",0.0552543923888778
"544","Nopal","PC19",-0.225779118559093
"545","Lobster","PC19",0.00976450481411695
"546","Egg","PC19",-0.183672579944848
"547","Mushroom","PC19",-0.0237524687350663
"548","Bacon","PC19",-0.232792078244054
"549","Avocado","PC19",-0.295097061779435
"550","Corn","PC19",0.0133362515007326
"551","Zucchini","PC19",-0.0197616734949957
"552","Beef","PC20",-0.0741443877785616
"553","Pico","PC20",0.376758451803293
"554","Cheese","PC20",-0.404602275253976
"555","Fries","PC20",-0.0355644627890373
"556","Sour_cream","PC20",0.269141543935522
"557","Pork","PC20",-0.156403107997329
"558","Chicken","PC20",-0.0349576716769839
"559","Shrimp","PC20",0.187954105851889
"560","Fish","PC20",0.181540310861042
"561","Tomato","PC20",0.215287953468394
"562","Bell_pepper","PC20",-0.060302616348707
"563","Carrots","PC20",-0.15075777192129
"564","Cabbage","PC20",-0.156915292681397
"565","Sauce","PC20",-9.14969932736681e-05
"566","Salsa","PC20",0.0675619710553998
"567","Cilantro","PC20",-0.00140076536052693
"568","Onion","PC20",0.0197612252383451
"569","Taquito","PC20",0.319630394162265
"570","Pineapple","PC20",0.0540203980395534
"571","Ham","PC20",0.0837740765988378
"572","Chile_relleno","PC20",-0.126722328649184
"573","Nopal","PC20",0.0339604948312395
"574","Lobster","PC20",-0.139394312465669
"575","Egg","PC20",-0.0488924439143395
"576","Mushroom","PC20",0.203550061511077
"577","Bacon","PC20",0.00341232369359169
"578","Avocado","PC20",-0.425976004883915
"579","Corn","PC20",-0.18743250404483
"580","Zucchini","PC20",-0.0986234534359964
"581","Beef","PC21",-0.148336180680674
"582","Pico","PC21",0.2377981061121
"583","Cheese","PC21",0.0491672833454067
"584","Fries","PC21",-0.0862887557527624
"585","Sour_cream","PC21",-0.202941350097928
"586","Pork","PC21",-0.0269393688765369
"587","Chicken","PC21",-0.0565175811431116
"588","Shrimp","PC21",-0.215469816454708
"589","Fish","PC21",0.172368078377056
"590","Tomato","PC21",0.135299944619031
